mcmparam,BULL91_32,CHANG06_3,CHEN99_15,CHEN99_28A,CHEN99_28B,CHENYAO01_28A,CHENYAO01_28B,DEMPSTER02_25,DEMPSTER04_A3,DEMPSTER04_B3,DEMPSTER04_C3,DEMPSTER04_D3,DEMPSTER04_E3,DEMPSTER04_F3,DEMPSTER04_G4,DEMPSTER04_H4,DEMPSTER04_I5,DEMPSTER04_J5,DEMPSTER04_K5,DEMPSTER04_L5,GAUSSIAN_3,GAUSSIAN_5,GOODMAN77_A3,GOODMAN77_B3,GOODMAN77_C7,GOODMAN77_D7,GOODMAN77_E11,GOODMAN77_F11,GOODMAN77_G11,GOODMAN77_H15,GOODMAN77_I19,HIGHPASS_15,HIGHPASS_5,HIGHPASS_9,JAIN91_11,JANG02_11,JHENG04_29A,JHENG04_29B,JHENG04_30,JOHANSSON08_28,JOHANSSON08_30,JOHANSSON08_A5,JOHANSSON08_B5,KWENTUS97_11,KWENTUS97_15,KWENTUS97_47,LAPLACIAN_3,LIM83A_36,LIM83_121,LIM83_36,LIM83_37,LIM83_63,LIMAKT08_121,LIMPASKO99_121,LIMYU07_121,LOWPASS_15,LOWPASS_5,LOWPASS_9,MARTINEZ02_4,NIELSEN89_67A,NIELSEN89_67B,POTKONJAK96_4,ROSA04_49,SAMUELI89_60,SHAHEIN11_B,SHAHEIN11_S2,SHI11_A,SHI11_G1,SHI11_L2,SHI11_S1_A,SHI11_S1_B,SHI11_S2,SHI11_X1,SHI11_Y1,SHI11_Y2,UNSHARP_3-1,UNSHARP_3-2,VINOD03_15,VINOD03_26A,VINOD03_26B,XU07_15,XU07_28,YEUNG04_40,YLI01_30,YOSHINO90_64,ZAHOSAM89_25
ktree:L(yc:yz:yu):C(yssd:ni),lin=9239:non=0,lin=4454:non=0,lin=3301:non=0,lin=9476:non=0,lin=9764:non=0,lin=6653:non=0,lin=7780:non=0,lin=56032:non=0,lin=2519:non=0,lin=3058:non=0,lin=5998:non=0,lin=3805:non=0,lin=8929:non=0,lin=8014:non=0,lin=10798:non=0,lin=12007:non=0,lin=9704:non=0,lin=10546:non=0,lin=12827:non=0,lin=12827:non=0,lin=1579:non=0,lin=4544:non=0,lin=203:non=0,lin=730:non=0,lin=1972:non=0,lin=3673:non=0,lin=2519:non=0,lin=4430:non=0,lin=7852:non=0,lin=11653:non=0,lin=1552:non=0,lin=2504:non=0,lin=742:non=0,lin=688:non=0,lin=8542:non=0,lin=6461:non=0,lin=7357:non=0,lin=23281:non=0,lin=151009:non=0,lin=5929:non=0,lin=8485:non=0,lin=1972:non=0,lin=3202:non=0,lin=37969:non=0,lin=1972:non=0,lin=499049:non=0,lin=1435:non=0,lin=1570:non=0,lin=49414:non=0,lin=1480:non=0,lin=266651:non=0,lin=465694:non=0,lin=335425:non=0,lin=112676:non=0,lin=4924:non=0,lin=16253:non=0,lin=7555:non=0,lin=157727:non=0,lin=154384:non=0,lin=7555:non=0,lin=13618:non=0,lin=75634:non=0,lin=9239:non=0,lin=42832:non=0,lin=33199:non=0,lin=730:non=0,lin=44965:non=0,lin=1462:non=0,lin=1570:non=0,lin=47036:non=0,lin=3157:non=0,lin=6803:non=0,lin=14713:non=0,lin=1534:non=0,lin=5248:non=0,lin=5284:non=0,lin=4226:non=0,lin=63937:non=0,lin=5383:non=0,lin=11425:non=0,lin=132703:non=0,lin=5293:non=0,lin=84965:non=0,lin=3067:non=0
ktree:L(nc:nz:nu):C(nssd:ni),lin=6355:non=0,lin=3318:non=0,lin=2565:non=0,lin=6594:non=0,lin=6882:non=0,lin=4739:non=0,lin=5564:non=0,lin=34578:non=0,lin=1953:non=0,lin=2324:non=0,lin=4372:non=0,lin=2881:non=0,lin=6403:non=0,lin=5810:non=0,lin=7560:non=0,lin=8381:non=0,lin=6830:non=0,lin=7306:non=0,lin=8789:non=0,lin=8789:non=0,lin=1283:non=0,lin=3408:non=0,lin=187:non=0,lin=618:non=0,lin=1552:non=0,lin=2747:non=0,lin=1953:non=0,lin=3290:non=0,lin=5644:non=0,lin=8011:non=0,lin=1254:non=0,lin=1934:non=0,lin=628:non=0,lin=574:non=0,lin=6004:non=0,lin=4545:non=0,lin=5143:non=0,lin=15157:non=0,lin=88853:non=0,lin=4301:non=0,lin=5955:non=0,lin=1552:non=0,lin=2468:non=0,lin=24363:non=0,lin=1552:non=0,lin=285999:non=0,lin=1135:non=0,lin=1270:non=0,lin=30756:non=0,lin=1180:non=0,lin=156267:non=0,lin=267674:non=0,lin=194541:non=0,lin=67378:non=0,lin=3550:non=0,lin=10839:non=0,lin=5349:non=0,lin=93911:non=0,lin=92228:non=0,lin=5349:non=0,lin=9136:non=0,lin=46818:non=0,lin=6355:non=0,lin=26796:non=0,lin=21093:non=0,lin=618:non=0,lin=28083:non=0,lin=1164:non=0,lin=1270:non=0,lin=29282:non=0,lin=2421:non=0,lin=4893:non=0,lin=9779:non=0,lin=1238:non=0,lin=3878:non=0,lin=3912:non=0,lin=3082:non=0,lin=39471:non=0,lin=4011:non=0,lin=7791:non=0,lin=80085:non=0,lin=3915:non=0,lin=51475:non=0,lin=2327:non=0
ktree:L(nc:nz:nu):C(nssd:yi),lin=4515:non=0,lin=2388:non=0,lin=1853:non=0,lin=4674:non=0,lin=4866:non=0,lin=3387:non=0,lin=3954:non=0,lin=23798:non=0,lin=1428:non=0,lin=1692:non=0,lin=3124:non=0,lin=2080:non=0,lin=4528:non=0,lin=4116:non=0,lin=5333:non=0,lin=5897:non=0,lin=4830:non=0,lin=5164:non=0,lin=6186:non=0,lin=6186:non=0,lin=948:non=0,lin=2448:non=0,lin=150:non=0,lin=471:non=0,lin=1144:non=0,lin=1991:non=0,lin=1428:non=0,lin=2370:non=0,lin=4006:non=0,lin=5653:non=0,lin=929:non=0,lin=1416:non=0,lin=478:non=0,lin=442:non=0,lin=4264:non=0,lin=3258:non=0,lin=3673:non=0,lin=10567:non=0,lin=60503:non=0,lin=3077:non=0,lin=4230:non=0,lin=1144:non=0,lin=1788:non=0,lin=16838:non=0,lin=1144:non=0,lin=193008:non=0,lin=850:non=0,lin=940:non=0,lin=21203:non=0,lin=880:non=0,lin=105867:non=0,lin=180708:non=0,lin=131600:non=0,lin=46002:non=0,lin=2560:non=0,lin=7605:non=0,lin=3809:non=0,lin=63891:non=0,lin=62753:non=0,lin=3809:non=0,lin=6436:non=0,lin=32079:non=0,lin=4515:non=0,lin=18512:non=0,lin=14625:non=0,lin=471:non=0,lin=19386:non=0,lin=869:non=0,lin=940:non=0,lin=20202:non=0,lin=1757:non=0,lin=3489:non=0,lin=6881:non=0,lin=918:non=0,lin=2778:non=0,lin=2801:non=0,lin=2232:non=0,lin=27110:non=0,lin=2867:non=0,lin=5505:non=0,lin=54555:non=0,lin=2804:non=0,lin=35250:non=0,lin=1695:non=0
ktree:L(nc:nz:nu):C(yssd:ni),lin=6419:non=0,lin=3358:non=0,lin=2597:non=0,lin=6658:non=0,lin=6946:non=0,lin=4791:non=0,lin=5620:non=0,lin=34754:non=0,lin=1981:non=0,lin=2356:non=0,lin=4420:non=0,lin=2917:non=0,lin=6463:non=0,lin=5866:non=0,lin=7628:non=0,lin=8453:non=0,lin=6894:non=0,lin=7374:non=0,lin=8865:non=0,lin=8865:non=0,lin=1303:non=0,lin=3448:non=0,lin=191:non=0,lin=630:non=0,lin=1576:non=0,lin=2783:non=0,lin=1981:non=0,lin=3330:non=0,lin=5700:non=0,lin=8083:non=0,lin=1274:non=0,lin=1962:non=0,lin=640:non=0,lin=586:non=0,lin=6064:non=0,lin=4597:non=0,lin=5199:non=0,lin=15265:non=0,lin=89153:non=0,lin=4349:non=0,lin=6015:non=0,lin=1576:non=0,lin=2500:non=0,lin=24503:non=0,lin=1576:non=0,lin=286555:non=0,lin=1155:non=0,lin=1290:non=0,lin=30920:non=0,lin=1200:non=0,lin=156667:non=0,lin=268210:non=0,lin=194993:non=0,lin=67634:non=0,lin=3594:non=0,lin=10927:non=0,lin=5405:non=0,lin=94215:non=0,lin=92528:non=0,lin=5405:non=0,lin=9216:non=0,lin=47022:non=0,lin=6419:non=0,lin=26948:non=0,lin=21225:non=0,lin=630:non=0,lin=28239:non=0,lin=1184:non=0,lin=1290:non=0,lin=29442:non=0,lin=2453:non=0,lin=4945:non=0,lin=9863:non=0,lin=1258:non=0,lin=3922:non=0,lin=3956:non=0,lin=3122:non=0,lin=39659:non=0,lin=4055:non=0,lin=7863:non=0,lin=80361:non=0,lin=3959:non=0,lin=51695:non=0,lin=2359:non=0
ktree:L(nc:nz:nu):C(yssd:yi),lin=4579:non=0,lin=2428:non=0,lin=1885:non=0,lin=4738:non=0,lin=4930:non=0,lin=3439:non=0,lin=4010:non=0,lin=23974:non=0,lin=1456:non=0,lin=1724:non=0,lin=3172:non=0,lin=2116:non=0,lin=4588:non=0,lin=4172:non=0,lin=5401:non=0,lin=5969:non=0,lin=4894:non=0,lin=5232:non=0,lin=6262:non=0,lin=6262:non=0,lin=968:non=0,lin=2488:non=0,lin=154:non=0,lin=483:non=0,lin=1168:non=0,lin=2027:non=0,lin=1456:non=0,lin=2410:non=0,lin=4062:non=0,lin=5725:non=0,lin=949:non=0,lin=1444:non=0,lin=490:non=0,lin=454:non=0,lin=4324:non=0,lin=3310:non=0,lin=3729:non=0,lin=10675:non=0,lin=60803:non=0,lin=3125:non=0,lin=4290:non=0,lin=1168:non=0,lin=1820:non=0,lin=16978:non=0,lin=1168:non=0,lin=193564:non=0,lin=870:non=0,lin=960:non=0,lin=21367:non=0,lin=900:non=0,lin=106267:non=0,lin=181244:non=0,lin=132052:non=0,lin=46258:non=0,lin=2604:non=0,lin=7693:non=0,lin=3865:non=0,lin=64195:non=0,lin=63053:non=0,lin=3865:non=0,lin=6516:non=0,lin=32283:non=0,lin=4579:non=0,lin=18664:non=0,lin=14757:non=0,lin=483:non=0,lin=19542:non=0,lin=889:non=0,lin=960:non=0,lin=20362:non=0,lin=1789:non=0,lin=3541:non=0,lin=6965:non=0,lin=938:non=0,lin=2822:non=0,lin=2845:non=0,lin=2272:non=0,lin=27298:non=0,lin=2911:non=0,lin=5577:non=0,lin=54831:non=0,lin=2848:non=0,lin=35470:non=0,lin=1727:non=0
ktree:L(nc:nz:yu):C(nssd:ni),lin=9139:non=0,lin=4398:non=0,lin=3253:non=0,lin=9378:non=0,lin=9666:non=0,lin=6572:non=0,lin=7692:non=0,lin=55786:non=0,lin=2478:non=0,lin=3012:non=0,lin=5932:non=0,lin=3754:non=0,lin=8848:non=0,lin=7938:non=0,lin=10705:non=0,lin=11909:non=0,lin=9614:non=0,lin=10451:non=0,lin=12722:non=0,lin=12722:non=0,lin=1548:non=0,lin=4488:non=0,lin=196:non=0,lin=711:non=0,lin=1936:non=0,lin=3620:non=0,lin=2478:non=0,lin=4370:non=0,lin=7772:non=0,lin=11539:non=0,lin=1519:non=0,lin=2459:non=0,lin=721:non=0,lin=667:non=0,lin=8449:non=0,lin=6378:non=0,lin=7271:non=0,lin=23122:non=0,lin=150578:non=0,lin=5861:non=0,lin=8400:non=0,lin=1936:non=0,lin=3156:non=0,lin=37768:non=0,lin=1936:non=0,lin=498252:non=0,lin=1400:non=0,lin=1535:non=0,lin=49165:non=0,lin=1445:non=0,lin=266067:non=0,lin=464922:non=0,lin=334774:non=0,lin=112306:non=0,lin=4859:non=0,lin=16119:non=0,lin=7477:non=0,lin=157295:non=0,lin=153953:non=0,lin=7477:non=0,lin=13496:non=0,lin=75327:non=0,lin=9139:non=0,lin=42604:non=0,lin=33006:non=0,lin=711:non=0,lin=44736:non=0,lin=1429:non=0,lin=1535:non=0,lin=46802:non=0,lin=3109:non=0,lin=6726:non=0,lin=14588:non=0,lin=1503:non=0,lin=5187:non=0,lin=5221:non=0,lin=4162:non=0,lin=63676:non=0,lin=5320:non=0,lin=11319:non=0,lin=132318:non=0,lin=5224:non=0,lin=84640:non=0,lin=3015:non=0
ktree:L(nc:nz:yu):C(nssd:yi),lin=7043:non=0,lin=3368:non=0,lin=2477:non=0,lin=7202:non=0,lin=7394:non=0,lin=5051:non=0,lin=5886:non=0,lin=43070:non=0,lin=1904:non=0,lin=2316:non=0,lin=4540:non=0,lin=2872:non=0,lin=6748:non=0,lin=6048:non=0,lin=8189:non=0,lin=9101:non=0,lin=7358:non=0,lin=8020:non=0,lin=9758:non=0,lin=9758:non=0,lin=1188:non=0,lin=3428:non=0,lin=158:non=0,lin=555:non=0,lin=1492:non=0,lin=2783:non=0,lin=1904:non=0,lin=3350:non=0,lin=5938:non=0,lin=8857:non=0,lin=1169:non=0,lin=1892:non=0,lin=562:non=0,lin=526:non=0,lin=6484:non=0,lin=4922:non=0,lin=5605:non=0,lin=17803:non=0,lin=116603:non=0,lin=4493:non=0,lin=6450:non=0,lin=1492:non=0,lin=2412:non=0,lin=29018:non=0,lin=1492:non=0,lin=385940:non=0,lin=1090:non=0,lin=1180:non=0,lin=37931:non=0,lin=1120:non=0,lin=205667:non=0,lin=360000:non=0,lin=259064:non=0,lin=86834:non=0,lin=3748:non=0,lin=12401:non=0,lin=5741:non=0,lin=121499:non=0,lin=118853:non=0,lin=5741:non=0,lin=10396:non=0,lin=57987:non=0,lin=7043:non=0,lin=32876:non=0,lin=25449:non=0,lin=555:non=0,lin=34518:non=0,lin=1109:non=0,lin=1180:non=0,lin=36122:non=0,lin=2381:non=0,lin=5153:non=0,lin=11249:non=0,lin=1158:non=0,lin=3966:non=0,lin=3989:non=0,lin=3212:non=0,lin=49106:non=0,lin=4055:non=0,lin=8709:non=0,lin=102027:non=0,lin=3992:non=0,lin=65390:non=0,lin=2319:non=0
ktree:L(nc:nz:yu):C(yssd:ni),lin=9203:non=0,lin=4438:non=0,lin=3285:non=0,lin=9442:non=0,lin=9730:non=0,lin=6624:non=0,lin=7748:non=0,lin=55962:non=0,lin=2506:non=0,lin=3044:non=0,lin=5980:non=0,lin=3790:non=0,lin=8908:non=0,lin=7994:non=0,lin=10773:non=0,lin=11981:non=0,lin=9678:non=0,lin=10519:non=0,lin=12798:non=0,lin=12798:non=0,lin=1568:non=0,lin=4528:non=0,lin=200:non=0,lin=723:non=0,lin=1960:non=0,lin=3656:non=0,lin=2506:non=0,lin=4410:non=0,lin=7828:non=0,lin=11611:non=0,lin=1539:non=0,lin=2487:non=0,lin=733:non=0,lin=679:non=0,lin=8509:non=0,lin=6430:non=0,lin=7327:non=0,lin=23230:non=0,lin=150878:non=0,lin=5909:non=0,lin=8460:non=0,lin=1960:non=0,lin=3188:non=0,lin=37908:non=0,lin=1960:non=0,lin=498808:non=0,lin=1420:non=0,lin=1555:non=0,lin=49329:non=0,lin=1465:non=0,lin=266467:non=0,lin=465458:non=0,lin=335226:non=0,lin=112562:non=0,lin=4903:non=0,lin=16207:non=0,lin=7533:non=0,lin=157599:non=0,lin=154253:non=0,lin=7533:non=0,lin=13576:non=0,lin=75531:non=0,lin=9203:non=0,lin=42756:non=0,lin=33138:non=0,lin=723:non=0,lin=44892:non=0,lin=1449:non=0,lin=1555:non=0,lin=46962:non=0,lin=3141:non=0,lin=6778:non=0,lin=14672:non=0,lin=1523:non=0,lin=5231:non=0,lin=5265:non=0,lin=4202:non=0,lin=63864:non=0,lin=5364:non=0,lin=11391:non=0,lin=132594:non=0,lin=5268:non=0,lin=84860:non=0,lin=3047:non=0
ktree:L(nc:nz:yu):C(yssd:yi),lin=7107:non=0,lin=3408:non=0,lin=2509:non=0,lin=7266:non=0,lin=7458:non=0,lin=5103:non=0,lin=5942:non=0,lin=43246:non=0,lin=1932:non=0,lin=2348:non=0,lin=4588:non=0,lin=2908:non=0,lin=6808:non=0,lin=6104:non=0,lin=8257:non=0,lin=9173:non=0,lin=7422:non=0,lin=8088:non=0,lin=9834:non=0,lin=9834:non=0,lin=1208:non=0,lin=3468:non=0,lin=162:non=0,lin=567:non=0,lin=1516:non=0,lin=2819:non=0,lin=1932:non=0,lin=3390:non=0,lin=5994:non=0,lin=8929:non=0,lin=1189:non=0,lin=1920:non=0,lin=574:non=0,lin=538:non=0,lin=6544:non=0,lin=4974:non=0,lin=5661:non=0,lin=17911:non=0,lin=116903:non=0,lin=4541:non=0,lin=6510:non=0,lin=1516:non=0,lin=2444:non=0,lin=29158:non=0,lin=1516:non=0,lin=386496:non=0,lin=1110:non=0,lin=1200:non=0,lin=38095:non=0,lin=1140:non=0,lin=206067:non=0,lin=360536:non=0,lin=259516:non=0,lin=87090:non=0,lin=3792:non=0,lin=12489:non=0,lin=5797:non=0,lin=121803:non=0,lin=119153:non=0,lin=5797:non=0,lin=10476:non=0,lin=58191:non=0,lin=7107:non=0,lin=33028:non=0,lin=25581:non=0,lin=567:non=0,lin=34674:non=0,lin=1129:non=0,lin=1200:non=0,lin=36282:non=0,lin=2413:non=0,lin=5205:non=0,lin=11333:non=0,lin=1178:non=0,lin=4010:non=0,lin=4033:non=0,lin=3252:non=0,lin=49294:non=0,lin=4099:non=0,lin=8781:non=0,lin=102303:non=0,lin=4036:non=0,lin=65610:non=0,lin=2351:non=0
ktree:L(nc:yz:nu):C(nssd:ni),lin=6371:non=0,lin=3328:non=0,lin=2573:non=0,lin=6610:non=0,lin=6898:non=0,lin=4752:non=0,lin=5578:non=0,lin=34622:non=0,lin=1960:non=0,lin=2332:non=0,lin=4384:non=0,lin=2890:non=0,lin=6418:non=0,lin=5824:non=0,lin=7577:non=0,lin=8399:non=0,lin=6846:non=0,lin=7323:non=0,lin=8808:non=0,lin=8808:non=0,lin=1288:non=0,lin=3418:non=0,lin=188:non=0,lin=621:non=0,lin=1558:non=0,lin=2756:non=0,lin=1960:non=0,lin=3300:non=0,lin=5658:non=0,lin=8029:non=0,lin=1259:non=0,lin=1941:non=0,lin=631:non=0,lin=577:non=0,lin=6019:non=0,lin=4558:non=0,lin=5157:non=0,lin=15184:non=0,lin=88928:non=0,lin=4313:non=0,lin=5970:non=0,lin=1558:non=0,lin=2476:non=0,lin=24398:non=0,lin=1558:non=0,lin=286138:non=0,lin=1140:non=0,lin=1275:non=0,lin=30797:non=0,lin=1185:non=0,lin=156367:non=0,lin=267808:non=0,lin=194654:non=0,lin=67442:non=0,lin=3561:non=0,lin=10861:non=0,lin=5363:non=0,lin=93987:non=0,lin=92303:non=0,lin=5363:non=0,lin=9156:non=0,lin=46869:non=0,lin=6371:non=0,lin=26834:non=0,lin=21126:non=0,lin=621:non=0,lin=28122:non=0,lin=1169:non=0,lin=1275:non=0,lin=29322:non=0,lin=2429:non=0,lin=4906:non=0,lin=9800:non=0,lin=1243:non=0,lin=3889:non=0,lin=3923:non=0,lin=3092:non=0,lin=39518:non=0,lin=4022:non=0,lin=7809:non=0,lin=80154:non=0,lin=3926:non=0,lin=51530:non=0,lin=2335:non=0
